,low,medium,high,z
0,5.829049479211257e-09,0.0,0.0,26.099
1,2.9069375379053852e-08,0.0,0.0,26.098
2,6.959567688119561e-08,0.0,0.0,26.096999999999998
3,1.272882855299362e-07,0.0,0.0,26.095999999999997
4,2.020324711762833e-07,0.0,0.0,26.094999999999995
5,2.937179915812882e-07,0.0,0.0,26.093999999999994
6,4.0223870583638854e-07,0.0,0.0,26.092999999999993
7,5.274922395825943e-07,0.0,0.0,26.09199999999999
8,6.693796929038709e-07,0.0,0.0,26.09099999999999
9,8.278053835394927e-07,0.0,0.0,26.08999999999999
10,1.002676619878129e-06,0.0,0.0,26.088999999999988
11,1.1939034989111308e-06,0.0,0.0,26.087999999999987
12,1.4013987257519012e-06,0.0,0.0,26.086999999999986
13,1.6250774513421051e-06,0.0,0.0,26.085999999999984
14,1.8648571260895808e-06,0.0,0.0,26.084999999999983
15,2.1206573672799545e-06,0.0,0.0,26.083999999999982
16,2.392399838478665e-06,0.0,0.0,26.08299999999998
17,2.680008139507861e-06,0.0,0.0,26.08199999999998
18,2.983407705749175e-06,0.0,0.0,26.080999999999978
19,3.3025257156552024e-06,0.0,0.0,26.079999999999977
20,3.637291005650911e-06,0.0,0.0,26.078999999999976
21,3.98763399152291e-06,0.0,0.0,26.077999999999975
22,4.353486595734535e-06,0.0,0.0,26.076999999999973
23,4.734782179972863e-06,0.0,0.0,26.075999999999972
24,5.13145548248356e-06,0.0,0.0,26.07499999999997
25,5.543442559666212e-06,0.0,0.0,26.07399999999997
26,5.9706807316109445e-06,0.0,0.0,26.07299999999997
27,6.413108531173883e-06,0.0,0.0,26.071999999999967
28,6.870665656265318e-06,0.0,0.0,26.070999999999966
29,7.3432929251354695e-06,0.0,0.0,26.069999999999965
30,7.830932234303978e-06,0.0,0.0,26.068999999999964
31,8.333526519008205e-06,0.0,0.0,26.067999999999962
32,8.851019716003827e-06,0.0,0.0,26.06699999999996
33,9.38335672832219e-06,0.0,0.0,26.06599999999996
34,9.93048339207464e-06,0.0,0.0,26.06499999999996
35,1.0492346445074852e-05,0.0,0.0,26.063999999999957
36,1.1068893497008514e-05,0.0,0.0,26.062999999999956
37,1.1660073001275306e-05,0.0,0.0,26.061999999999955
38,1.2265834228190886e-05,0.0,0.0,26.060999999999954
39,1.2886127239576661e-05,0.0,0.0,26.059999999999953
40,1.3520902864508355e-05,0.0,0.0,26.05899999999995
41,1.4170112676320512e-05,0.0,0.0,26.05799999999995
42,1.4833708970658777e-05,0.0,0.0,26.05699999999995
43,1.551164474454525e-05,0.0,0.0,26.055999999999948
44,1.6203873676380598e-05,0.0,0.0,26.054999999999946
45,1.691035010688985e-05,0.0,0.0,26.053999999999945
46,1.7631029020845346e-05,0.0,0.0,26.052999999999944
47,1.836586602961543e-05,0.0,0.0,26.051999999999943
48,1.911481735446946e-05,0.0,0.0,26.05099999999994
49,1.9877839810535092e-05,0.0,0.0,26.04999999999994
50,2.0654890791449443e-05,0.0,0.0,26.04899999999994
51,2.1445928254600066e-05,0.0,0.0,26.047999999999938
52,2.225091070701124e-05,0.0,0.0,26.046999999999937
53,2.3069797191736796e-05,0.0,0.0,26.045999999999935
54,2.390254727475949e-05,0.0,0.0,26.044999999999934
55,2.474912103248017e-05,0.0,0.0,26.043999999999933
56,2.5609479039574723e-05,0.0,0.0,26.04299999999993
57,2.6483582357357538e-05,0.0,0.0,26.04199999999993
58,2.7371392522561322e-05,0.0,0.0,26.04099999999993
59,2.8272871536512423e-05,0.0,0.0,26.039999999999928
60,2.9187981854701672e-05,0.0,0.0,26.038999999999927
61,3.0116686376702173e-05,0.0,0.0,26.037999999999926
62,3.1058948436468725e-05,0.0,0.0,26.036999999999924
63,3.201473179290787e-05,0.0,0.0,26.035999999999923
64,3.298400062085732e-05,0.0,0.0,26.034999999999922
65,3.396671950226665e-05,0.0,0.0,26.03399999999992
66,3.4962853417759565e-05,0.0,0.0,26.03299999999992
67,3.5972367738355826e-05,0.0,0.0,26.03199999999992
68,3.6995228217623355e-05,0.0,0.0,26.030999999999917
69,3.8031400983892794e-05,0.0,0.0,26.029999999999916
70,3.908085253283983e-05,0.0,0.0,26.028999999999915
71,4.014354972028261e-05,0.0,0.0,26.027999999999913
72,4.1219459755159615e-05,0.0,0.0,26.026999999999912
73,4.2308550192701744e-05,0.0,0.0,26.02599999999991
74,4.34107889279306e-05,0.0,0.0,26.02499999999991
75,4.452614418918449e-05,0.0,0.0,26.02399999999991
76,4.565458453194282e-05,0.0,0.0,26.022999999999907
77,4.679607883280312e-05,0.0,0.0,26.021999999999906
78,4.7950596283624636e-05,0.0,0.0,26.020999999999905
79,4.9118106385824534e-05,0.0,0.0,26.019999999999904
80,5.0298578944854566e-05,0.0,0.0,26.018999999999902
81,5.1491984064816476e-05,0.0,0.0,26.0179999999999
82,5.269829214323701e-05,0.0,0.0,26.0169999999999
83,5.39174738659956e-05,0.0,0.0,26.0159999999999
84,5.514950020233528e-05,0.0,0.0,26.014999999999898
85,5.639434240007485e-05,0.0,0.0,26.013999999999896
86,5.765197198087657e-05,0.0,0.0,26.012999999999895
87,5.892236073572893e-05,0.0,0.0,26.011999999999894
88,6.0205480720436355e-05,0.0,0.0,26.010999999999893
89,6.150130425131711e-05,0.0,0.0,26.00999999999989
90,6.280980390093588e-05,0.0,0.0,26.00899999999989
91,6.413095249402367e-05,0.0,0.0,26.00799999999989
